SUB_QUADRO,SEQ,V9001,V5302,V53021,V5304,V5307,V53011,V53061,id,nova
1,1,5300501,5,,,1,1420,48042,1.100054E13,0
1,1,5300601,6,,,1,1420,56011,1.100054E13,0
1,1,5300301,3,,2,1,9329,56011,1.100054E13,0
1,1,5300501,5,,,1,1324,49040,1.100054E13,0
1,1,5300301,3,,1,1,5223,48042,1.100054E13,0
1,1,5300501,5,,,1,1345,85029,1.100054E13,0
1,1,5300301,3,,2,1,4120,85029,1.100054E13,0
1,1,5300301,3,,2,1,9313,41000,1.100054E13,0
1,1,5300601,6,,,1,5142,96020,1.100054E13,0
1,1,5300501,5,,,1,5221,48030,1.100054E13,0
1,1,5300501,5,,,1,5221,48030,1.100054E13,0
1,1,5300301,3,,1,1,0,74000,1.100054E13,0
1,1,5300301,3,,2,1,5142,96020,1.100054E13,0
1,1,5300601,6,,,1,6111,1109,1.100054E13,0
1,1,5300601,6,,,1,6111,1102,1.100054E13,0
1,1,5300401,4,,,1,5312,85012,1.100054E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300301,3,,2,1,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300701,7,1,,,6111,1113,1.1002004E13,0
1,1,5300601,6,,,1,6111,1109,1.1002004E13,0
1,1,5300701,7,1,,,6111,1109,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300701,7,1,,,6111,1113,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300601,6,,,1,6111,1109,1.1002004E13,1
2,1,5300601,6,,,1,,,1.1002004E13,1
1,1,5300301,3,,2,1,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,2
1,1,5300601,6,,,1,6121,1201,1.1002004E13,1
2,1,5300601,6,,,1,,,1.1002004E13,2
2,2,5300301,3,,2,1,,,1.1002004E13,2
2,1,5300601,6,,,1,,,1.1002004E13,1
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,1
1,1,5300701,7,1,,,6111,1113,1.1002004E13,0
2,1,5300601,6,,,1,,,1.1002004E13,1
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300601,6,,,2,7317,32001,1.1001721E13,1
2,1,5300601,6,,,1,,,1.1001721E13,1
1,1,5300101,1,,1,1,9111,97000,1.1001721E13,0
1,1,5300601,6,,,1,7533,14001,1.1001721E13,0
1,1,5300301,3,,1,1,5153,81011,1.1001721E13,0
1,1,5300401,4,,,1,5329,86001,1.1001721E13,0
1,1,5300601,6,,,1,2359,85029,1.1001721E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001721E13,1
2,1,5300101,1,,2,1,,,1.1001721E13,1
1,1,5300401,4,,,1,3412,84012,1.1001721E13,0
1,1,5300401,4,,2,1,3112,84013,1.1001721E13,0
1,1,5300601,6,,,1,9212,1201,1.1001721E13,1
1,1,5300301,3,,1,1,5153,85012,1.1001721E13,0
2,1,5300301,3,,2,1,,,1.1001721E13,1
1,1,5300301,3,,1,1,8141,45020,1.1001721E13,0
1,1,5300301,3,,2,1,9313,41000,1.1001721E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001721E13,0
1,1,5300601,6,,,1,7512,56011,1.1001721E13,0
1,1,5300601,6,,,1,9129,81011,1.1001721E13,0
1,1,5300301,3,,1,1,5223,48079,1.1001721E13,0
1,1,5300301,3,,1,1,9112,11000,1.1001721E13,0
1,1,5300301,3,,1,1,5230,48080,1.1001721E13,0
1,1,5300301,3,,2,1,8342,7002,1.1000458E13,2
2,1,5300701,7,2,,,,,1.1000458E13,2
2,2,5300301,3,,2,1,,,1.1000458E13,2
1,1,5300601,6,,,1,6121,1201,1.1000458E13,0
1,1,5300601,6,,,1,6121,1201,1.1000458E13,0
1,1,5300601,6,,,1,5141,96020,1.1000458E13,0
1,1,5300601,6,,,1,6221,3002,1.1000458E13,2
1,1,5300301,3,,1,1,8332,48030,1.1000458E13,1
2,1,5300601,6,,,1,,,1.1000458E13,2
2,2,5300501,5,,,1,,,1.1000458E13,2
2,1,5300701,7,9,,,,,1.1000458E13,1
1,1,5300601,6,,,1,6121,1201,1.1000458E13,1
1,1,5300601,6,,,3,6121,1201,1.1000458E13,0
1,1,5300301,3,,2,1,9212,1201,1.1000458E13,1
2,1,5300601,6,,,1,,,1.1000458E13,1
2,1,5300701,7,1,,,,,1.1000458E13,1
1,1,5300601,6,,,1,9212,1201,1.1000458E13,0
1,1,5300101,1,,2,1,9111,97000,1.1000458E13,0
1,1,5300301,3,,1,1,6121,1201,1.1000458E13,0
1,1,5300601,6,,,1,6121,1201,1.1000458E13,0
1,1,5300301,3,,2,2,6221,3002,1.1000458E13,1
2,1,5300601,6,,,1,,,1.1000458E13,1
1,1,5300601,6,,,1,6121,1201,1.1000458E13,0
1,1,5300601,6,,,1,6121,1201,1.1000458E13,1
1,1,5300301,3,,2,1,9311,7002,1.1000458E13,0
2,1,5300601,6,,,1,,,1.1000458E13,1
1,1,5300301,3,,1,1,5223,48042,1.1000062E13,0
1,1,5300101,1,,1,1,9111,97000,1.1000062E13,0
1,1,5300301,3,,1,1,5230,48090,1.1000062E13,0
1,1,5300301,3,,2,1,5131,56011,1.1000062E13,1
2,1,5300101,1,,2,1,,,1.1000062E13,1
1,1,5300401,4,,,1,3221,86001,1.1000062E13,0
1,1,5300301,3,,1,1,9334,48080,1.1000062E13,0
1,1,5300601,6,,,1,7532,14002,1.1000062E13,0
1,1,5300301,3,,2,1,9311,7001,1.1000062E13,0
1,1,5300101,1,,2,1,5311,97000,1.1000062E13,0
1,1,5300401,4,,,1,3116,86003,1.1000062E13,0
1,1,5300601,6,,,1,7112,41000,1.1000062E13,0
1,1,5300301,3,,1,1,9333,10010,1.1000062E13,0
1,1,5300301,3,,1,1,9329,10010,1.1000062E13,0
1,1,5300401,4,,,1,5120,85012,1.1001842E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001842E13,0
1,1,5300601,6,,,1,7317,16002,1.1001842E13,0
1,1,5300401,4,,,1,9112,84013,1.1001842E13,0
1,1,5300601,6,,,1,7318,13002,1.1001842E13,1
1,1,5300601,6,,,1,9313,41000,1.1001842E13,0
1,1,5300301,3,,1,1,5414,48030,1.1001842E13,0
2,1,5300101,1,,2,1,,,1.1001842E13,1
1,1,5300401,4,,,1,8322,85013,1.1001842E13,0
1,1,5300301,3,,1,1,8331,49030,1.1001842E13,0
1,1,5300401,4,,,1,2342,85012,1.1000233E13,0
1,1,5300301,3,,1,1,5245,48060,1.1000233E13,0
1,1,5300401,4,,,1,5312,85013,1.1000233E13,0
1,1,5300301,3,,1,1,8332,49040,1.1000233E13,0
1,1,5300601,6,,,1,7112,41000,1.1000233E13,0
1,1,5300401,4,,,1,3253,86002,1.1000233E13,0
1,1,5300301,3,,1,1,9333,48030,1.1000233E13,0
1,1,5300101,1,,2,1,9111,97000,1.1000233E13,0
1,1,5300101,1,,1,1,9111,97000,1.1000233E13,0
1,1,5300301,3,,1,1,4120,69000,1.1000233E13,0
1,1,5300301,3,,1,1,5245,48060,1.1000233E13,0
1,1,5300401,4,,,1,5153,84013,1.1000233E13,0
1,1,5300101,1,,2,1,5311,97000,1.1000233E13,0
1,1,5300301,3,,1,1,9122,45020,1.1000233E13,0
1,1,5300301,3,,1,1,2359,85029,1.1001998E13,0
1,1,5300301,3,,1,1,4120,85011,1.1001998E13,0
1,1,5300301,3,,1,1,3343,31000,1.1001998E13,0
1,1,5300301,3,,1,1,3118,31000,1.1001998E13,0
1,1,5300601,6,,,1,7531,14001,1.1001998E13,1
1,1,5300301,3,,1,1,8183,48020,1.1001998E13,1
2,1,5300101,1,,2,1,,,1.1001998E13,1
2,1,5300601,6,,,1,,,1.1001998E13,1
1,1,5300301,3,,1,1,8157,86001,1.1001998E13,0
1,1,5300401,4,,,1,1311,84013,1.1001998E13,1
1,1,5300301,3,,1,1,3512,62000,1.1001998E13,0
2,1,5300601,6,,,1,,,1.1001998E13,1
1,1,5300601,6,,,4,6121,1201,1.1001998E13,0
1,1,5300401,4,,,1,5412,84016,1.1001998E13,0
1,1,5300301,3,,1,1,7212,23091,1.1001998E13,0
1,1,5300401,4,,,1,9112,86001,1.1001998E13,0
1,1,5300401,4,,,1,5412,84016,1.1001998E13,0
1,1,5300401,4,,,1,2341,85012,1.1001998E13,1
2,1,5300301,3,,1,1,,,1.1001998E13,1
1,1,5300601,6,,,1,8322,49040,1.1000607E13,0
1,1,5300601,6,,,1,7533,13002,1.1000607E13,0
1,1,5300301,3,,1,1,7231,45040,1.1000607E13,0
1,1,5300301,3,,2,1,2434,48073,1.1000607E13,0
1,1,5300101,1,,2,1,9111,97000,1.1000607E13,1
2,1,5300601,6,,,1,,,1.1000607E13,1
1,1,5300301,3,,2,1,9122,45020,1.1000607E13,1
2,1,5300601,6,,,1,,,1.1000607E13,1
1,1,5300301,3,,1,1,9412,56011,1.1000607E13,0
1,1,5300601,6,,,1,5243,48042,1.1000607E13,0
1,1,5300301,3,,1,1,9629,48080,1.1000607E13,0
1,1,5300301,3,,1,1,5230,82009,1.1000607E13,0
1,1,5300301,3,,1,1,8181,23091,1.1000607E13,0
1,1,5300301,3,,1,1,2262,48071,1.1001051E13,1
2,1,5300301,3,,2,1,,,1.1001051E13,1
1,1,5300401,4,,,1,3253,84013,1.1001051E13,0
1,1,5300601,6,,,1,6121,1201,1.1001051E13,0
1,1,5300601,6,,,1,7231,45020,1.1001051E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001051E13,0
1,1,5300601,6,,,1,9313,41000,1.1001051E13,0
1,1,5300301,3,,1,1,1420,48080,1.1001051E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001051E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001051E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001051E13,1
2,1,5300301,3,,2,1,,,1.1001051E13,1
1,1,5300401,4,,,1,2330,85013,1.1001051E13,0
1,1,5300401,4,,,1,4110,85013,1.1001051E13,0
1,1,5300301,3,,1,1,8341,1201,1.100057E13,1
1,1,5300301,3,,2,1,9212,1201,1.100057E13,0
1,1,5300301,3,,1,1,5230,48060,1.100057E13,0
2,1,5300301,3,,1,1,,,1.100057E13,1
1,1,5300401,4,,,1,2330,85013,1.100057E13,0
1,1,5300301,3,,1,1,3123,41000,1.100057E13,0
1,1,5300601,6,,,1,5221,48050,1.100057E13,2
1,1,5300301,3,,2,1,4120,69000,1.100057E13,0
2,1,5300601,6,,,1,,,1.100057E13,2
2,2,5300601,6,,,1,,,1.100057E13,2
1,1,5300301,3,,2,1,2433,48010,1.100057E13,4
2,1,5300301,3,,2,1,,,1.100057E13,4
2,2,5300301,3,,1,1,,,1.100057E13,4
2,3,5300601,6,,,3,,,1.100057E13,4
2,4,5300301,3,,2,1,,,1.100057E13,4
1,1,5300601,6,,,1,9520,48100,1.100057E13,0
1,1,5300601,6,,,1,8321,49030,1.100057E13,0
1,1,5300301,3,,2,1,7233,48075,1.100057E13,0
1,1,5300601,6,,,1,5141,96020,1.100057E13,0
1,1,5300601,6,,,1,3321,66002,1.100057E13,0
1,1,5300601,6,,,1,2611,69000,1.100057E13,0
1,1,5300601,6,,,1,7531,14002,1.100057E13,0
1,1,5300301,3,,1,1,8332,49040,1.100057E13,0
1,1,5300401,4,,,1,5153,85012,1.100057E13,0
1,1,5300501,5,,,1,5221,45020,1.1000229E13,0
1,1,5300501,5,,,1,7231,45020,1.1000229E13,0
1,1,5300401,4,,,1,5153,85012,1.1000229E13,1
1,1,5300301,3,,2,1,8141,45020,1.1000229E13,0
2,1,5300601,6,,,1,,,1.1000229E13,1
1,1,5300601,6,,,1,6121,1201,1.1000229E13,0
1,1,5300701,7,1,,,6121,1201,1.1000229E13,0
1,1,5300301,3,,2,1,9212,1201,1.1000229E13,1
1,1,5300301,3,,1,1,9333,48050,1.1000229E13,0
2,1,5300701,7,1,,,,,1.1000229E13,1
1,1,5300601,6,,,1,8322,49030,1.1000229E13,0
1,1,5300601,6,,,1,5120,56011,1.1000229E13,0
1,1,5300301,3,,1,1,5223,48079,1.1000229E13,0
1,1,5300301,3,,1,1,5230,48080,1.1000229E13,0
1,1,5300701,7,1,,,9211,1201,1.1000229E13,2
1,1,5300301,3,,1,1,5223,48042,1.1000229E13,0
2,1,5300301,3,,1,1,,,1.1000229E13,2
2,2,5300301,3,,2,1,,,1.1000229E13,2
1,1,5300601,6,,,1,5221,56011,1.1000229E13,0
1,1,5300101,1,,2,1,9111,97000,1.1000229E13,0
1,1,5300601,6,,,1,5142,96020,1.1000229E13,0
1,1,5300601,6,,,1,9313,41000,1.1001019E13,0
1,1,5300601,6,,,1,7131,43000,1.1001019E13,0
1,1,5300401,4,,,1,4110,84011,1.1001019E13,0
1,1,5300401,4,,,1,4110,84013,1.1001019E13,0
1,1,5300301,3,,1,1,3512,61000,1.1001019E13,0
1,1,5300601,6,,,1,6121,1201,1.1001019E13,0
1,1,5300601,6,,,1,6121,1201,1.1001019E13,0
1,1,5300401,4,,,1,2341,85012,1.1001019E13,0
1,1,5300601,6,,,1,7131,43000,1.1001019E13,1
1,1,5300301,3,,2,1,5141,96020,1.1001019E13,0
2,1,5300301,3,,1,1,,,1.1001019E13,1
1,1,5300401,4,,,1,5414,84012,1.1001019E13,0
1,1,5300301,3,,1,1,4110,48073,1.1001019E13,0
1,1,5300601,6,,,1,9332,49040,1.1001019E13,0
1,1,5300101,1,,1,1,9111,97000,1.1001019E13,0
1,1,5300301,3,,2,1,7112,41000,1.1001019E13,0
1,1,5300301,3,,2,1,9313,41000,1.1001019E13,0
1,1,5300101,1,,2,1,5322,97000,1.1001019E13,1
2,1,5300101,1,,2,1,,,1.1001019E13,1
1,1,5300601,6,,,1,7112,41000,1.1001019E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001019E13,0
1,1,5300301,3,,2,1,4120,69000,1.1001019E13,1
2,1,5300301,3,,2,1,,,1.1001019E13,1
1,1,5300401,4,,,1,3253,84013,1.1001239E13,1
1,1,5300601,6,,,1,6225,3001,1.1001239E13,1
2,1,5300601,6,,,4,,,1.1001239E13,1
2,1,5300601,6,,,4,,,1.1001239E13,1
1,1,5300601,6,,,1,5211,48030,1.1001239E13,1
1,1,5300401,4,,,1,2341,85012,1.1001239E13,0
2,1,5300601,6,,,1,,,1.1001239E13,1
1,1,5300201,2,,,1,210,84014,1.1001239E13,0
1,1,5300201,2,,,1,210,84014,1.1001239E13,1
2,1,5300601,6,,,1,,,1.1001239E13,1
1,1,5300601,6,,,1,5243,48071,1.1001239E13,0
1,1,5300601,6,,,1,7112,41000,1.1001239E13,0
1,1,5300601,6,,,1,6225,3001,1.1001239E13,3
2,1,5300601,6,,,1,,,1.1001239E13,3
2,2,5300601,6,,,1,,,1.1001239E13,3
2,3,5300601,6,,,1,,,1.1001239E13,3
1,1,5300101,1,,2,1,9111,97000,1.1001239E13,0
1,1,5300601,6,,,1,9520,48100,1.1001239E13,0
1,1,5300201,2,,,1,210,84014,1.1001239E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001239E13,0
1,1,5300601,6,,,1,6111,1108,1.1001239E13,0
1,1,5300301,3,,2,1,9211,2000,1.1001239E13,0
1,1,5300301,3,,2,1,6111,2000,1.1001239E13,0
1,1,5300401,4,,,1,1112,84013,1.1001712E13,0
1,1,5300401,4,,,1,2611,84013,1.1001712E13,0
1,1,5300301,3,,1,1,5230,48080,1.1001712E13,0
1,1,5300301,3,,1,1,8160,10010,1.1001712E13,0
1,1,5300301,3,,2,1,9215,2000,1.1001712E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001712E13,0
1,1,5300401,4,,,1,3253,86002,1.1001712E13,0
1,1,5300301,3,,2,1,8172,16001,1.1001712E13,0
1,1,5300301,3,,1,1,5153,94091,1.1001712E13,0
1,1,5300701,7,1,,,5221,48079,1.1001712E13,0
1,1,5300601,6,,,1,5221,48079,1.1001712E13,0
1,1,5300601,6,,,1,5243,48042,1.1001712E13,0
1,1,5300501,5,,,1,7534,13002,1.1001712E13,0
1,1,5300601,6,,,1,5221,48030,1.1001712E13,0
1,1,5300301,3,,2,1,5141,96020,1.1001712E13,0
1,1,5300301,3,,1,1,3113,43000,1.1001712E13,0
1,1,5300301,3,,2,1,7112,41000,1.1001951E13,0
1,1,5300301,3,,1,1,9112,48050,1.1001951E13,0
1,1,5300301,3,,1,1,5223,48080,1.1001951E13,0
1,1,5300601,6,,,1,5243,48071,1.1001951E13,0
1,1,5300601,6,,,1,5221,48030,1.1001951E13,0
1,1,5300601,6,,,4,5221,48030,1.1001951E13,0
1,1,5300401,4,,,1,8331,49030,1.1001951E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001951E13,0
1,1,5300301,3,,1,1,4321,48030,1.1001951E13,0
1,1,5300401,4,,2,1,9621,84013,1.1001951E13,0
1,1,5300601,6,,,1,5243,48100,1.1001951E13,0
1,1,5300601,6,,,1,5212,10099,1.1001951E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001951E13,0
1,1,5300301,3,,1,1,9334,48080,1.1001951E13,0
1,1,5300601,6,,,1,5221,48030,1.1001951E13,0
1,1,5300701,7,1,,,5221,48030,1.1001951E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001951E13,0
1,1,5300301,3,,2,1,5246,48030,1.1001951E13,0
1,1,5300601,6,,,1,5221,48079,1.1001951E13,0
1,1,5300301,3,,1,1,9329,82009,1.100209E13,0
1,1,5300301,3,,1,1,5223,48042,1.100209E13,0
1,1,5300301,3,,1,1,8183,82009,1.100209E13,0
1,1,5300401,4,,,1,2411,84013,1.100209E13,1
1,1,5300401,4,,,1,2330,85013,1.100209E13,0
2,1,5300301,3,,1,1,,,1.100209E13,1
1,1,5300501,5,,,1,7231,45020,1.100209E13,0
1,1,5300301,3,,1,1,3113,43000,1.100209E13,0
1,1,5300301,3,,2,1,5223,48030,1.100209E13,0
1,1,5300601,6,,,1,9313,41000,1.100209E13,0
1,1,5300301,3,,1,1,5120,56011,1.100209E13,1
2,1,5300101,1,,2,1,,,1.100209E13,1
1,1,5300401,4,,,1,2341,85012,1.100209E13,0
1,1,5300601,6,,,1,8321,49030,1.100209E13,0
1,1,5300301,3,,1,1,7511,10010,1.100209E13,0
1,1,5300401,4,,,1,4110,85013,1.100209E13,0
1,1,5300401,4,,,1,2341,85012,1.100209E13,0
1,1,5300301,3,,2,1,9313,41000,1.100209E13,0
1,1,5300401,4,,,1,2330,85013,1.1000786E13,0
1,1,5300201,2,,,1,412,84016,1.1000786E13,0
1,1,5300601,6,,,1,5211,48020,1.1000786E13,0
1,1,5300101,1,,2,1,6112,97000,1.1000786E13,0
1,1,5300401,4,,,1,3411,84016,1.1000786E13,0
1,1,5300401,4,,,1,4110,85013,1.1000786E13,0
1,1,5300601,6,,,1,7531,14002,1.1000786E13,0
1,1,5300301,3,,1,1,5230,82009,1.1000786E13,0
1,1,5300601,6,,,1,7533,14001,1.1000786E13,0
1,1,5300601,6,,,1,7121,42000,1.1000786E13,0
1,1,5300601,6,,,1,7111,71000,1.1000786E13,0
1,1,5300601,6,,,1,7318,13002,1.1000618E13,0
1,1,5300701,7,1,,,9211,1119,1.1000618E13,0
1,1,5300601,6,,,1,5212,56012,1.1000618E13,0
1,1,5300301,3,,1,1,2342,85012,1.1000618E13,1
2,1,5300301,3,,2,1,,,1.1000618E13,1
1,1,5300701,7,2,,,9212,1201,1.1000618E13,0
1,1,5300301,3,,1,1,7412,45020,1.1000618E13,1
1,1,5300301,3,,1,1,2113,72000,1.1000618E13,1
1,1,5300301,3,,1,1,7212,25001,1.1000618E13,0
2,1,5300601,6,,,1,,,1.1000618E13,1
2,1,5300601,6,,,1,,,1.1000618E13,1
1,1,5300501,5,,,1,6130,1999,1.1000618E13,1
1,1,5300301,3,,1,1,4110,10030,1.1000618E13,0
2,1,5300701,7,1,,,,,1.1000618E13,1
1,1,5300601,6,,,1,8321,49030,1.1000618E13,0
1,1,5300401,4,,,1,3423,85011,1.1000618E13,2
2,1,5300401,4,,,1,,,1.1000618E13,2
2,2,5300601,6,,,1,,,1.1000618E13,2
1,1,5300301,3,,1,1,7514,10010,1.1000618E13,0
1,1,5300301,3,,1,1,8332,49040,1.1000618E13,1
2,1,5300601,6,,,1,,,1.1000618E13,1
1,1,5300301,3,,1,1,9621,48050,1.1000618E13,1
1,1,5300101,1,,2,1,9111,97000,1.1000618E13,0
2,1,5300301,3,,1,1,,,1.1000618E13,1
1,1,5300301,3,,2,1,9333,48079,1.1000618E13,0
1,1,5300301,3,,1,1,7511,10010,1.1000618E13,0
1,1,5300301,3,,1,1,9621,48050,1.1000618E13,0
1,1,5300601,6,,,1,7233,33001,1.1000548E13,0
1,1,5300301,3,,2,1,4224,55000,1.1000548E13,0
1,1,5300301,3,,1,1,9334,48080,1.1000548E13,0
1,1,5300301,3,,1,1,8131,10030,1.1000548E13,0
1,1,5300301,3,,1,1,7231,45040,1.1000548E13,0
1,1,5300301,3,,1,1,9112,10010,1.1000548E13,0
1,1,5300301,3,,1,1,9412,48080,1.1000548E13,0
1,1,5300101,1,,1,1,9111,97000,1.1000548E13,0
1,1,5300301,3,,1,1,5230,48080,1.1000548E13,0
1,1,5300301,3,,2,1,5246,56011,1.1000548E13,0
1,1,5300301,3,,1,1,9334,48080,1.1000548E13,0
1,1,5300101,1,,2,1,6112,97000,1.1000548E13,0
1,1,5300501,5,,,1,9122,45020,1.1000548E13,0
1,1,5300301,3,,1,1,3312,48042,1.1000548E13,0
1,1,5300401,4,,,1,7112,42000,1.1000548E13,0
1,1,5300601,6,,,1,2212,86002,1.1000996E13,1
2,1,5300601,6,,,1,,,1.1000996E13,1
1,1,5300101,1,,2,1,9111,97000,1.1000996E13,0
1,1,5300301,3,,1,1,5222,79000,1.1000996E13,0
1,1,5300401,4,,1,1,3311,64000,1.1000996E13,1
2,1,5300501,5,,,1,,,1.1000996E13,1
1,1,5300301,3,,1,1,8172,16001,1.1000996E13,1
1,1,5300301,3,,1,1,4323,48090,1.1000996E13,1
2,1,5300601,6,,,1,,,1.1000996E13,1
2,1,5300601,6,,,1,,,1.1000996E13,1
1,1,5300301,3,,1,1,4120,85013,1.1000996E13,0
1,1,5300301,3,,2,1,2330,85013,1.1000996E13,1
2,1,5300301,3,,2,1,,,1.1000996E13,1
1,1,5300401,4,,1,1,2132,84012,1.1000996E13,0
1,1,5300601,6,,,1,2261,86002,1.1000996E13,0
1,1,5300401,4,,,1,4110,84013,1.1000996E13,0
1,1,5300401,4,,,1,4120,84013,1.1000996E13,0
1,1,5300601,6,,,1,5141,96020,1.1000689E13,0
1,1,5300301,3,,1,1,8332,48080,1.1000689E13,0
1,1,5300301,3,,2,1,6121,1201,1.1000689E13,1
2,1,5300301,3,,1,1,,,1.1000689E13,1
1,1,5300601,6,,,1,5212,48030,1.1000689E13,0
1,1,5300301,3,,1,1,5230,48080,1.1000689E13,0
1,1,5300301,3,,1,1,5222,48080,1.1000689E13,0
1,1,5300301,3,,1,1,9334,48080,1.1000689E13,0
1,1,5300601,6,,,1,5212,48030,1.1000689E13,0
1,1,5300301,3,,1,1,8332,49040,1.1000689E13,0
1,1,5300301,3,,1,1,5223,48042,1.1000689E13,1
2,1,5300601,6,,,1,,,1.1000689E13,1
1,1,5300301,3,,1,1,8332,49030,1.1000689E13,1
2,1,5300601,6,,,1,,,1.1000689E13,1
1,1,5300601,6,,,1,5142,96020,1.1000689E13,0
1,1,5300401,4,,,1,9112,85012,1.1002017E13,0
1,1,5300601,6,,,1,9332,49040,1.1002017E13,0
1,1,5300301,3,,1,1,4110,64000,1.1002017E13,0
1,1,5300301,3,,1,2,4321,48030,1.1002017E13,0
1,1,5300301,3,,2,1,9313,41000,1.1002017E13,0
1,1,5300301,3,,1,1,7514,10091,1.1002017E13,0
1,1,5300301,3,,2,1,7131,43000,1.1002017E13,0
1,1,5300601,6,,,1,7231,45020,1.1002017E13,0
1,1,5300401,4,,,1,5120,85012,1.1002017E13,0
1,1,5300301,3,,1,1,3344,86002,1.1002017E13,0
1,1,5300101,1,,1,1,9111,97000,1.1002017E13,1
1,1,5300501,5,,,1,7112,41000,1.1002017E13,0
1,1,5300301,3,,1,1,7212,25001,1.1002017E13,0
2,1,5300601,6,,,1,,,1.1002017E13,1
1,1,5300301,3,,2,1,9122,45020,1.1002017E13,1
1,1,5300101,1,,2,1,5311,97000,1.1002017E13,0
2,1,5300301,3,,2,1,,,1.1002017E13,1
1,1,5300601,6,,,1,7112,41000,1.1002017E13,0
1,1,5300601,6,,,1,2636,94091,1.1002017E13,0
1,1,5300601,6,,,1,7112,41000,1.1002017E13,1
2,1,5300301,3,,1,1,,,1.1002017E13,1
1,1,5300501,5,,,1,5221,48050,1.1002277E13,0
1,1,5300501,5,,,1,5221,48050,1.1002277E13,0
1,1,5300301,3,,2,1,4110,48050,1.1002277E13,0
1,1,5300301,3,,2,1,4110,48050,1.1002277E13,0
1,1,5300401,4,,,1,3352,84012,1.1002277E13,0
1,1,5300301,3,,2,1,5142,96020,1.1002277E13,0
1,1,5300601,6,,,1,7422,95010,1.1002277E13,0
1,1,5300601,6,,,1,7318,13002,1.1002277E13,1
2,1,5300601,6,,,2,,,1.1002277E13,1
1,1,5300601,6,,,1,5221,48020,1.1002277E13,0
1,1,5300601,6,,,1,5141,96020,1.1002277E13,0
1,1,5300301,3,,1,1,1211,45030,1.1002277E13,0
1,1,5300301,3,,1,1,4323,45030,1.1002277E13,1
2,1,5300601,6,,,1,,,1.1002277E13,1
1,1,5300701,7,1,,,7112,43000,1.1002277E13,0
1,1,5300601,6,,,1,5243,48071,1.100012E13,0
1,1,5300101,1,,2,1,9111,97000,1.100012E13,0
1,1,5300401,4,,,1,4226,84013,1.100012E13,1
1,1,5300401,4,,,1,8322,84013,1.100012E13,1
2,1,5300601,6,,,1,,,1.100012E13,1
2,1,5300601,6,,,1,,,1.100012E13,1
1,1,5300301,3,,1,1,8157,86001,1.100012E13,0
1,1,5300401,4,,,1,4110,84013,1.100012E13,0
1,1,5300401,4,,,1,3253,84013,1.100012E13,0
1,1,5300301,3,,1,1,8172,16001,1.100012E13,0
1,1,5300101,1,,1,1,5120,97000,1.100012E13,0
1,1,5300301,3,,1,1,9334,48030,1.1001861E13,1
1,1,5300301,3,,1,1,9321,48030,1.1001861E13,0
2,1,5300301,3,,1,1,,,1.1001861E13,1
1,1,5300301,3,,1,1,8172,16001,1.1001861E13,1
2,1,5300301,3,,1,1,,,1.1001861E13,1
1,1,5300601,6,,,1,9520,48100,1.1001861E13,0
1,1,5300301,3,,2,1,9329,1201,1.1001861E13,0
1,1,5300101,1,,2,1,5322,97000,1.1001861E13,1
2,1,5300301,3,,2,1,,,1.1001861E13,1
1,1,5300601,6,,,1,8332,2000,1.1001861E13,0
1,1,5300301,3,,1,1,3422,85029,1.1001861E13,1
2,1,5300601,6,,,1,,,1.1001861E13,1
1,1,5300601,6,,,1,7112,41000,1.1001861E13,0
1,1,5300101,1,,1,1,9111,97000,1.1001861E13,0
1,1,5300601,6,,,1,6121,1201,1.1000964E13,0
1,1,5300601,6,,,1,6121,1201,1.1000964E13,0
